concept,prompt
apple,A photo of an apple
broccoli,A photo of broccoli
backpack,A photo of a backpack
traffic-light,A photo of a traffic light
umbrella,A photo of an umbrella
parachute,A photo of a parachute
orange,A photo of an orange
goldfish,A photo of a goldfish
bowtie,A photo of a bowtie
harp,A photo of a harp
gas-pump,A photo of a gas pump
sunglasses,A photo of sunglasses
computer-mouse,A photo of a computer mouse
broom,A photo of a broom
english-springer,A photo of an English Springer
eiffel-tower,A photo of the Eiffel Tower
girl,A photo of a girl
corgi,A photo of a corgi
fruit,A photo of fruit
airplane,A photo of an airplane
car,A photo of a car
